Date,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
1999-11-16,-6.264739377442803e-05,-0.4190428414232592,-6.262915391253169e-05,-6.203488852812152e-05,-6.261973012881969e-05,-6.206612007431644e-05
1999-12-21,-7.455652804919403e-05,-0.4332575484570516,-7.392031346070783e-05,-7.384367727550764e-05,-7.456899199411006e-05,-7.388061623966363e-05
2000-02-02,-8.233839459525457e-05,-0.48582932974664417,-8.155756748519178e-05,-8.147484900072192e-05,-8.23187012325194e-05,-8.151285113395509e-05
2000-03-21,-0.00010210830437896263,-0.5334721789559175,-0.00010145395210550359,-0.00010127240369790512,-0.00010225369217503526,-0.00010131521599697309
2000-05-16,-8.68150817762175e-05,-0.531099718565294,-8.615495206783986e-05,-8.603031089240174e-05,-8.674611786456335e-05,-8.606650363653002e-05
2000-06-28,-4.6518486987901364e-05,-0.3006537029034109,-4.610296458236421e-05,-4.606237881867603e-05,-4.648414432483223e-05,-4.608487408778304e-05
2000-08-22,-5.528468181185301e-05,-0.37370888644094835,-5.4802002365140684e-05,-5.474081914870019e-05,-5.525763998664987e-05,-5.476825313762974e-05
2000-10-03,-6.064878339852051e-05,-0.3363321051949346,-6.015928810970067e-05,-6.008574685596715e-05,-6.0552904151774845e-05,-6.0111448886086485e-05
2000-11-15,-4.226576750103403e-05,-0.29112875483072725,-4.181390360392708e-05,-4.1763812326059534e-05,-4.219852493648498e-05,-4.178583807065065e-05
2000-12-19,-4.2550252636529166e-05,-0.29817559642854596,-4.2176731465346976e-05,-4.212152764833498e-05,-4.25119186132822e-05,-4.213991528408086e-05
2001-01-31,-3.779297665922527e-05,-0.2921198660843682,-3.743957284613748e-05,-3.739980406657975e-05,-3.777518684342901e-05,-3.74186829087734e-05
2001-03-20,-6.510556126988724e-05,-0.44683109346440575,-6.445499242498754e-05,-6.437738612828668e-05,-6.503076687979222e-05,-6.440937360671453e-05
2001-05-15,-4.791792785178902e-05,-0.3698405405684149,-4.751779541995892e-05,-4.7424387854622265e-05,-4.789152990823972e-05,-4.7447948030891856e-05
2001-06-27,-4.255466732022418e-05,-0.3037884798286891,-4.219523439424526e-05,-4.212882369093236e-05,-4.249326959818493e-05,-4.214817630733362e-05
2001-08-21,-4.142441301855683e-05,-0.2659235010371161,-4.0959411076404916e-05,-4.0893714796167104e-05,-4.133827884577882e-05,-4.091540321149234e-05
2001-10-02,-0.0036393677044910177,-0.18376414199886582,-2.4108868335565642e-05,-2.402925044056446e-05,-2.430986352224529e-05,-2.404231434480029e-05
2001-11-06,-2.4673456784299576e-05,-0.17784336784400842,-2.4518513509825968e-05,-2.4439539114207037e-05,-2.4651781390022217e-05,-2.4450560108485754e-05
2001-12-11,-4.2831186775745454e-05,-0.3194593412663798,-4.2431379766850915e-05,-4.236481418936529e-05,-4.277846847105326e-05,-4.2384031958088946e-05
2002-01-30,-3.611575137230283e-05,-0.2558204947004717,-3.5779228452029494e-05,-3.5745026197469416e-05,-3.610260086264545e-05,-3.5762692643794704e-05
2002-03-19,-6.663505941570364e-05,-0.4630837539190582,-6.592196634675653e-05,-6.586436694156335e-05,-6.656038001707805e-05,-6.589845456204805e-05
2002-05-07,-5.918551920175217e-05,-0.3768987568378863,-5.86519228569567e-05,-5.860684270469309e-05,-5.914654277702473e-05,-5.863479071357361e-05
2002-06-26,-6.065412002700602e-05,-0.40803190848470583,-6.012911700084627e-05,-5.998078821421817e-05,-6.0646954830331516e-05,-6.001386855509659e-05
2002-08-13,-5.797748863872399e-05,-0.38364047492814873,-5.742517301861908e-05,-5.7354423019822066e-05,-5.79536600328333e-05,-5.738575571264448e-05
2002-09-24,-6.916058974285893e-05,-0.41311780674717363,-6.853029259888032e-05,-6.845207698970797e-05,-6.91028934439505e-05,-6.848586158944697e-05
2002-11-06,-5.941554200244948e-05,-0.38432009230443037,-5.892709341731287e-05,-5.877347918209361e-05,-5.9373707729344376e-05,-5.88024886231437e-05
2002-12-10,-0.010699116049834806,-0.39493314586682715,-7.702676033941875e-05,-7.681979826684665e-05,-7.762596977339318e-05,-7.68596143641945e-05
2003-01-29,-4.3419647599887424e-05,-0.27251150482700365,-4.304167350150209e-05,-4.293659143001023e-05,-4.341173249007066e-05,-4.295825524750424e-05
2003-03-18,-5.75747093619329e-05,-0.3542594636382563,-5.7031009043771134e-05,-5.694343526236001e-05,-5.747401893780532e-05,-5.696773459231069e-05
2003-05-06,-5.672505619307691e-05,-0.30178926275037077,-5.015441251933954e-05,-5.007705246158764e-05,-0.00947908753532562,-5.0103029195206173e-05
